0,1
0,352
1,77
1,106
1,219
1,321
1,347
2,3
2,216
3,224
3,258
3,224
3,258
3,260
3,338
4,5
4,6
4,160
4,301
5,6
6,215
6,221
6,345
7,8
7,295
8,9
8,34
8,39
8,58
9,10
9,295
10,348
10,36
10,251
11,12
11,156
12,65
12,290
12,324
13,14
13,354
14,300
15,16
16,117
16,122
17,18
17,318
18,309
19,20
19,181
20,39
21,22
21,169
22,262
23,24
23,73
24,311
25,26
25,95
26,97
26,191
26,192
27,28
27,29
27,30
27,31
27,175
27,187
27,350
28,67
28,68
28,279
29,49
29,315
30,184
31,68
32,33
32,127
33,358
34,35
34,39
34,119
34,180
34,36
35,56
35,69
35,343
36,337
36,289
36,360
37,38
37,39
38,181
40,41
40,170
40,363
41,52
42,43
42,199
43,185
44,45
44,46
44,221
45,46
45,161
45,162
45,196
45,261
47,48
47,49
48,162
48,246
48,310
49,174
49,292
49,313
49,314
50,51
50,325
51,146
52,53
53,147
54,55
54,201
55,99
56,57
57,102
57,103
57,333
58,59
59,76
59,219
59,348
60,61
60,179
61,109
62,63
62,336
62,64
62,226
64,284
65,66
66,106
67,68
67,213
67,214
67,252
67,320
68,183
68,206
68,213
69,70
70,176
70,277
71,72
71,250
72,301
73,361
74,75
74,326
75,156
76,77
78,79
78,131
79,201
80,81
81,130
81,257
81,351
82,83
82,84
83,193
84,103
85,86
85,87
86,187
86,265
86,189
87,260
88,89
88,332
89,151
90,91
90,173
91,131
92,93
92,116
93,364
94,95
94,181
96,97
96,98
97,181
97,111
98,208
99,100
99,101
99,262
100,101
100,181
100,183
100,182
102,105
102,104
102,324
103,327
103,355
104,239
105,106
106,107
106,108
106,347
107,142
108,323
109,110
110,295
111,112
111,113
112,149
113,150
114,115
114,346
115,271
116,233
117,125
118,119
118,135
120,121
120,213
120,281
121,179
121,180
121,214
123,124
123,210
124,332
125,296
126,127
126,130
128,129
128,153
129,255
132,133
132,358
133,344
134,135
134,281
135,206
135,245
136,137
136,239
137,256
138,139
138,209
139,226
140,141
140,296
142,143
143,325
144,145
144,256
145,154
146,197
147,148
148,177
149,220
150,217
151,152
152,357
153,317
154,155
155,178
157,158
157,298
158,265
159,160
159,299
160,300
161,162
161,200
163,164
163,223
164,338
165,166
165,167
166,232
166,329
167,253
168,169
168,186
170,322
171,172
171,341
172,316
174,175
176,180
176,257
177,247
180,214
180,277
180,343
181,184
181,245
182,266
183,205
185,210
186,294
186,365
187,188
187,272
188,350
189,190
190,207
191,293
192,336
193,194
194,318
194,356
195,196
195,316
196,254
196,261
198,199
198,330
200,273
200,339
202,203
202,204
204,280
205,206
206,281
207,208
207,209
211,212
211,303
212,222
213,281
214,349
215,264
215,216
215,264
217,218
218,219
219,282
219,326
219,352
219,353
220,251
221,328
222,223
223,299
224,225
224,225
225,305
225,305
227,229
227,228
227,229
228,233
229,263
229,263
230,231
230,232
230,302
231,306
234,235
234,236
234,237
235,237
236,248
237,238
240,241
241,359
242,243
242,244
243,253
246,338
247,362
248,249
249,250
252,273
254,255
258,259
258,259
259,267
259,266
261,338
263,304
263,304
264,331
264,331
267,268
268,292
269,270
269,291
271,272
272,298
272,306
274,275
274,276
275,280
276,314
278,279
278,310
282,283
283,286
283,287
284,285
285,288
286,340
287,330
288,363
289,290
290,324
291,323
293,361
296,297
297,307
302,308
303,335
304,305
304,305
307,308
311,312
314,315
317,327
319,320
319,351
320,339
320,349
321,322
328,345
329,342
332,340
333,337
334,335
334,366
341,368
342,354
359,365
367,368
